key	FR	EN	DE
Are you sure to save the modifications to all your selected test takers/templates?	Êtes-vous sûr de vouloir sauvegarder tous les changements concernant les participants/templates sélectionnés?	Are you sure to save the modifications to all your selected test takers/templates?	Sind Sie sicher, dass Sie alle Änderungen zu den ausgewählten Teilnehmern/Templates speichern wollen?
Add to selected test takers	Ajouter le participant sélectionné	Add to selected test takers	Den ausgewählten Teilnehmern hinzufügen
Save modifications to selected test takers(s)?	Sauvegarder les changements aux participants sélectionnés?	Save modifications to selected test takers(s)?	Änderungen an den ausgewählten Teilnehmern speichern?
invalid_data	"Le fichier ""%@"" ne correspond à aucun ensemble de données connu. Veuillez vérifier si le fichier a des caractères de séparation correctes (, ou ;) et s'il a les noms de colonnes corrects dans la première ligne (testtaker, password, tag, test-id, subfolder), plus les meta tags optionels (metakeyX, metavalueX). Veuillez comparer avec le fichier de modèle de l'application."	"The file ""%@"" does not correspond to a known dataset. Please verify that the file has correct field separators (, or ;) and has the proper key names in the first row (testtaker, password, tag, test-id, subfolder) plus optional meta-tages (metakeyX,metavalueX). Please check the example file in the application."	"Die Datei ""%@"" entspricht keinem bekannten Datensatz. Bitte überprüfen Sie, ob die Datei korrekte Trennzeichen (, oder ;) hat und ob sie die korrekten Spaltennamen in der ersten Zeile hat (testtaker, password, tag, test-id, subfolder), plus optionaler Meta-Tags (metakeyX,metavalueX). Bitte vergleichen Sie mit der Vorlagendatei aus der Anwendung."
ERROR in import-file:	Erreur dans le fichier d'importation:	ERROR in import-file:	Fehler in der Import Datei:
"Keyline field %@ has wrong identifier ""%@"". Expected:""metakey%@"""	"Intitulé de colonne %@ avait le mauvais identifiant ""%@"". Attendu: ""metakey%@"""	"Keyline field %@ has wrong identifier ""%@"". Expected: ""metakey%@"""	"Spaltenkopf %@ haten den falschen Namen ""%@"". Erwartet: ""metakey%@"""
"Keyline field %@ has wrong identifier ""%@"". Expected:""metavalue%@"""	"Intitulé de colonne %@ a le mauvais identifiant ""%@"". Attendu: ""metavalue%@"""	"Keyline field %@ has wrong identifier ""%@"". Expected: ""metavalue%@"""	"Spaltenkopf %@ hat den falschen Namen ""%@"". Erwartet: ""metavalue%@"""
ERROR: line %@ has a different number of fields than the previous lines! Aborting import!	Erreur: Ligne %@ a un différent nombre de colonnes que les précédents! Importation annulée!	ERROR: line %@ has a different number of fields than the previous lines! Aborting import!	Fehler: Zeile %@ hat eine unterschiedlich Anzahl an Spalten als die Vorhergehenden! Import abgebrochen!
line %@ field %@ (Testtaker) is empty. Aborting import!	Ligne %@ Colonne %@ (Testtaker) est vide. Importation annulée!	line %@ field %@ (Testtaker) is empty. Aborting import!	Zeile %@ Spalte %@ (Testtaker) ist leer. Import abgebrochen!
line %@ field %@ has non allowed characters. Valid characters are: Letters & numbers plus ( ){ } [ ] / . _ -	Ligne %@ Colonne %@ contient des caractères non autorisés. Les caractères autorisés sont : lettres, nombres et caractères spéciaux ( ){ } [ ] / . _ -	line %@ field %@ has non allowed characters. Valid characters are: Letters & numbers plus ( ){ } [ ] / . _ -	Zeile %@ Spalte %@ enthält unerlaubte Zeichen. Erlaubte Zeichen sind: Buchstaben und Zahlen plus ( ){ } [ ] / . _ -
"The test taker ""%@"" in line %@ has a different subfolder than the same test taker in another line of the CSV-file."	"Le participant ""%@"" dans la ligne %@ se trouve dans un autre sous dossier que le même participant dans une autre ligne du fichier CSV."	"The test taker ""%@"" in line %@ has a different subfolder than the same test taker in another line of the CSV-file."	"Der Teilnehmer ""%@"" in Zeile %@ befindet sich in einem anderen Unterordner als der selbe Teilnehmer in einer anderen Zeile der CSV Datei."
"The test taker ""%@"" in line %@ has a different set of meta tags than the same test taker in another line of the CSV-file."	"Le participant ""%@"" dans la ligne %@ a un ensemble différent de meta tags que le même participant dans une autre ligne du fichier CSV."	"The test taker ""%@"" in line %@ has a different set of meta tags than the same test taker in another line of the CSV-file."	"Der Teilnehmer ""%@"" in Zeile %@ hat einen unterschiedlichen Satz Meta-Tags als der selbe Teilnehmer in einer anderen Zeile der CSV Datei."
line %@ field %@ only contains \ . Please add at least one test-id or leave the field empty!	Ligne %@ Colonne %@ ne contient que « \ ». Veuillez ajouter au moins un test ID ou laissez le champ vide!	line %@ field %@ only contains \ . Please add at least one test-id or leave the field empty!	Zeile %@ Spalte %@ enthält nur \ . Bitte fügen Sie zumindest inte Test ID hinzu oder lassen Sie das Feld leer!
line %@ field %@ has non allowed characters. Valid characters are: Numbers and the delimiter \ !	Ligne %@ Colonne %@ contient des caractères non autorisés. Les caractères autorisés sont: les nombres et le caractère de séparation « \ »!	line %@ field %@ has non allowed characters. Valid characters are: Numbers and the delimiter  \ !	Zeile %@ Spalte %@ enthält unerlaubte Zeichen. VErlaubte Zeichen sind: Zahlen und das Trennzeichen \ !
line %@ field %@ contains only spaces. Please use valid folder names.	Ligne %@ Colonne %@ ne contient que des espaces. Veuillez utiliser des noms de dossier valables.	line %@ field %@ contains only spaces. Please use valid folder names.	Zeile %@ Spalte %@ enthält nur Leerzeichen. Bitte benutzen Sie gültige Ordnernamen.
line %@ field %@ has at least two folder separators (\) consecutive.	Ligne %@ Colonne %@ contient au moins deux caractères de séparation de dossier (\) consécutifs.	line %@ field %@ has at least two folder separators (\) consecutive.	Zeile %@ Spalte %@ enthält zumindest zwei aufeinanderfolgende Ordner Trennzeichen (\\).
line %@ field %@ contains a folder path with too many levels. Please use maximum 15 subfolder levels.	Ligne %@ Colonne %@ contient un chemin de dossier avec trop de niveaux. Veuillez utiliser au maximum 15 niveaux de sous-dossiers.	line %@ field %@ contains a folder path with too many levels. Please use maximum 15 subfolder levels.	Zeile %@ Spalte %@ enthält einen Ordnerpfad mit zu vielen Ebenen. Bitte verwenden Sie maximal 15 Unterordnerebenen.
The data from your file	Les données de votre fichier	The data from your file	Die Daten aus Ihrer Datei
is ready to be imported. 1 headerline and	sont prêt pour l'importation. 1 ligne en tête et	is ready to be imported. 1 headerline and	sind bereit für den Import. 1 Kopfzeile und
data-lines have been read.	des lignes avec des données ont été lu.	data-lines have been read.	Zeilen mit Daten wurden eingelesen.
"Are you sure you want to import to the folder ""%@"" ?"	"Êtes-vous sûr de vouloir importer dans le dossier ""%@""?"	"Are you sure you want to import to the folder ""%@""?"	"Sind Sie sicher, dass Sie in das Verzeichnis ""%@"" importieren wollen?"
Start import?	Commencer l'importation?	Start import?	Import starten?
"Are you sure you want to reset <strong>all</strong> results of the test taker ""%@""? This action is irreversible!"	"Êtes-vous sûr de vouloir supprimer <strong>tous</strong> résultats du participant ""%@""? Il n' y a aucun moyen d'annuler cela!"	"Are you sure you want to reset <strong>all</strong> results of the test taker ""%@""? This action is irreversible!"	"Sind Sie sicher, dass Sie <strong>alle</strong> Ergebnisse des Teilnehmers ""%@"" löschen wollen? Diese Aktion ist nicht umkehrbar!"
Reset test taker results?	Réinitialiser les résultats du participant?	Reset test taker results?	Ergebnisse des Teilnehmers zurücksetzen?
"Are you sure you want to reset <strong>all</strong> results of the password ""%@""? This action is irreversible!"	"Êtes-vous sûr de vouloir réinitialiser <strong>tous</strong> résultats du mot de passe ""%@""? Il n'y a aucun moyen d'annuler cela!"	"Are you sure you want to reset <strong>all</strong> results of the password ""%@""? This action is irreversible!"	"Sind Sie sicher, dass Sie <strong>alle</strong> Ergebnisse zum Passwort ""%@"" zurücksetzen wollen? Diese Aktion ist nicht umkehrbar!"
Reset testee results?	Rénitialiser les résultats du participant?	Reset test taker results?	Ergebnisse des Teilnehmers zurücksetzen?
"Are you sure you want to reset <strong>all</strong> results of the test ""%@""? This action is irreversible!"	"Êtes-vous sûr de vouloir réinitialiser <strong>tous</strong> résultats des tests ""%@""? Il n'y a aucun moyen d'annuler cela!"	"Are you sure you want to reset <strong>all</strong> results of the test ""%@""? This action is irreversible!"	"Sind Sie sicher, dass Sie <strong>alle</strong> Ergebnisse des Tests ""%@"" zurücksetzen wollen? Diese Aktion ist nicht umkehrbar!"
Please enter a new password for the test taker:	Veuillez saisir un nouveau mot de passe pour le participant:	Please enter a new password for the test taker:	Bitte geben Sie ein neues Passwort für den Teilnehmer ein:
Please enter a tag for the password (optional):	Veuillez saisir un tag pour le mot de passe (facultatif)	Please enter a tag for the password (optional):	Bitte geben Sie ein Tag für das Passwort ein (optional)
New password	Nouveau mot de passe	New password	Neues Passwort
This password does already exist. Try creating a different password.	Ce mot de passe existe déjà. Veuillez choisir un autre.	This password does already exist. Try creating a different password.	Dieses Passwort existiert bereits. Bitte wählen Sie ein Anderes.
password	Mot de passe	password	Passwort
You cannot create an empty password!	Vous ne pouvez pas créer un mot de passe vide!	You cannot create an empty password!	Sie können kein leeres Passwort erstellen!
test assigned	Test attribué	test assigned	Test zugewiesen
Please select a password to show assigned tests!	Veuillez choisir un mot de passe pour afficher les tests appartenants!	Please select a password to show assigned tests!	Bitte wählen Sie ein Passwort um die zugehörigen Tests anzuzeigen!
Are you sure you want to delete the password <strong>%@</strong>?	Êtes-vous sûr de vouloir supprimer le mot de passe <strong>%@</strong>?	Are you sure you want to delete the password <strong>%@</strong>?	Sind Sie sicher, dass Sie das Passwort <strong>%@</strong> löschen wollen?
For this password user data has already been collected!	Pour ce mot de passe, des résultats des participants ont déjà été enregistré	For this password user data has already been collected!	Für dieses Passwort wurden schon Ergebnisse von Teilnehmern aufgezeichnet
Delete password?	Supprimer le mot de passe?	Delete password?	Passwort löschen?
Current password tag:	Tag du mot de passe actuel:	Current password tag:	Aktuelles Passwort Tag:
